Player,Nation,Pos,Age,Minutes played divided by 90,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,
Erling Haaland,NOR,FW,24,34.1,71,2.15,43,0,9,15,2,2,9,0.27,4,0,3,1,1,0,
Joško Gvardiol,CRO,DF,23,33.1,65,2.07,61,0,2,1,0,1,7,0.22,6,0,1,0,0,0,
Bernardo Silva,POR,"MF,FW",30,30,98,3.41,89,1,4,2,2,0,8,0.28,7,0,0,1,0,0,
Rico Lewis,ENG,"DF,MF",20,27.7,55,2.32,52,1,0,0,2,0,5,0.21,5,0,0,0,0,0,
Manuel Akanji,SUI,DF,29,27.6,47,1.8,46,0,1,0,0,0,4,0.15,4,0,0,0,0,0,
Phil Foden,ENG,"MF,FW",24,25,110,4.83,76,22,2,6,3,1,15,0.66,8,2,0,3,1,1,
Ederson,BRA,GK,31,25,6,0.26,6,0,0,0,0,0,3,0.13,3,0,0,0,0,0,
İlkay Gündoğan,GER,MF,34,23.4,70,3.36,58,7,3,2,0,0,8,0.38,7,1,0,0,0,0,
Sávio,BRA,"FW,MF",20,22.5,104,5.36,70,3,16,7,7,1,17,0.88,10,0,3,2,1,1,
Mateo Kovačić,CRO,MF,30,22.2,60,2.93,50,0,3,4,2,1,6,0.29,4,0,1,1,0,0,
Matheus Nunes,POR,"MF,DF",26,19.1,52,3.28,40,1,4,3,3,1,11,0.69,6,0,2,2,1,0,
Rúben Dias,POR,DF,27,19.1,19,1.11,13,0,0,4,0,2,0,0,0,0,0,0,0,0,
Kevin De Bruyne,BEL,MF,33,15.9,97,6.2,72,20,1,2,1,1,10,0.64,8,1,0,1,0,0,
Stefan Ortega,GER,GK,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Grealish,ENG,"FW,MF",29,13.7,58,5.43,50,1,4,0,2,1,3,0.28,2,0,0,0,0,1,
Jeremy Doku,BEL,FW,22,13.1,54,4.88,42,1,7,2,2,0,9,0.81,8,0,1,0,0,0,
Kyle Walker,ENG,DF,34,12.9,18,1.51,18,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Stones,ENG,"DF,MF",30,12.5,17,1.69,17,0,0,0,0,0,5,0.5,5,0,0,0,0,0,
Nathan Aké,NED,DF,29,10.2,8,0.9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Mcatee,ENG,"MF,FW",22,6.9,4,1.8,1,0,2,0,0,1,0,0,0,0,0,0,0,0,
Nico O’Reilly,ENG,FW,19,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Omar Marmoush,EGY,FW,26,3.5,8,3.19,4,2,0,1,1,0,0,0,0,0,0,0,0,0,
Jahmai Simpson-Pusey,ENG,DF,19,3.5,3,1.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abdukodir Khusanov,UZB,DF,20,2.1,1,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rodri,ESP,MF,28,1.7,6,3.48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
Divin Mubama,ENG,FW,20,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nicolás González,ESP,MF,23,1.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oscar Bobb,NOR,FW,21,1,,,,,,,,,,,,,,,,,
Kaden Braithwaite,ENG,DF,17,0.8,,,,,,,,,,,,,,,,,
Jacob Wright,ENG,MF,19,0.5,,,,,,,,,,,,,,,,,
Vitor Reis,BRA,DF,19,0.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
