Player,Nation,Pos,Age,Minutes played divided by 90,Total_Cmp,Total_Att,Total_Cmp%,Total_Passing Distance,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,Passes into Final Third,PPA,CrsPA,PrgP,
Erling Haaland,NOR,FW,24,34.1,260,388,67,3281,618,173,243,71.2,63,92,68.5,7,11,63.6,3,3.1,1.8,-0.1,29,16,9,1,25,
Joško Gvardiol,CRO,DF,23,33.1,2136,2346,91,33422,8510,1126,1196,94.1,914,981,93.2,73,107,68.2,1,2.4,3.3,-1.4,26,207,21,1,231,
Bernardo Silva,POR,"MF,FW",30,30,1403,1623,86.4,21236,3747,789,852,92.6,529,605,87.4,61,95,64.2,4,4.6,4.2,-0.6,48,70,31,7,135,
Rico Lewis,ENG,"DF,MF",20,27.7,1373,1486,92.4,19704,3787,839,882,95.1,484,510,94.9,35,50,70,5,2.8,3.4,2.2,22,118,25,0,146,
Manuel Akanji,SUI,DF,29,27.6,2003,2127,94.2,32801,9416,966,1007,95.9,932,972,95.9,87,119,73.1,1,1,2,0,13,223,14,2,204,
Phil Foden,ENG,"MF,FW",24,25,1005,1182,85,15344,3138,616,665,92.6,298,340,87.6,76,134,56.7,4,5.6,6.3,-1.6,56,56,52,7,127,
Ederson,BRA,GK,31,25,721,833,86.6,17815,12149,137,137,100,412,421,97.9,170,272,62.5,3,0.8,0,2.2,3,21,1,0,1,
İlkay Gündoğan,GER,MF,34,23.4,1452,1610,90.2,22305,4373,820,867,94.6,530,558,95,77,134,57.5,2,2.5,4.2,-0.5,33,115,28,2,140,
Sávio,BRA,"FW,MF",20,22.5,688,856,80.4,10269,1837,425,475,89.5,221,280,78.9,33,54,61.1,9,6.4,6.8,2.6,42,14,54,10,67,
Mateo Kovačić,CRO,MF,30,22.2,1484,1589,93.4,23019,5931,790,825,95.8,622,656,94.8,54,74,73,1,3.5,2.9,-2.5,28,162,28,0,137,
Matheus Nunes,POR,"MF,DF",26,19.1,857,994,86.2,13167,2271,479,530,90.4,329,373,88.2,38,60,63.3,8,4.9,4.2,3.1,28,34,27,8,72,
Rúben Dias,POR,DF,27,19.1,1470,1561,94.2,25513,8280,592,611,96.9,783,820,95.5,77,97,79.4,0,0.3,0.9,-0.3,5,141,6,0,92,
Kevin De Bruyne,BEL,MF,33,15.9,785,1038,75.6,13264,3887,391,460,85,321,406,79.1,65,115,56.5,6,8.1,6.4,-2.1,50,73,59,11,139,
Stefan Ortega,GER,GK,32,14,323,379,85.2,7073,4844,89,91,97.8,166,169,98.2,66,115,57.4,0,0,0,0,0,3,0,0,1,
Jack Grealish,ENG,"FW,MF",29,13.7,468,536,87.3,7004,1191,287,308,93.2,158,175,90.3,18,31,58.1,5,2.2,2.4,2.8,29,17,24,0,62,
Jeremy Doku,BEL,FW,22,13.1,413,519,79.6,5817,941,278,321,86.6,122,148,82.4,11,17,64.7,7,3,2.6,4,24,4,35,5,43,
Kyle Walker,ENG,DF,34,12.9,827,944,87.6,13720,4320,417,442,94.3,352,389,90.5,48,91,52.7,0,0.4,1.4,-0.4,7,71,8,4,75,
John Stones,ENG,"DF,MF",30,12.5,726,774,93.8,12151,3141,353,369,95.7,317,333,95.2,49,60,81.7,2,0.5,0.5,1.5,8,84,2,0,52,
Nathan Aké,NED,DF,29,10.2,636,676,94.1,10258,3232,311,319,97.5,299,308,97.1,22,36,61.1,0,0,0.3,0,1,45,1,0,50,
James Mcatee,ENG,"MF,FW",22,6.9,73,87,83.9,1175,242,35,42,83.3,34,37,91.9,3,5,60,0,0.1,0.1,-0.1,1,7,1,0,11,
Nico O’Reilly,ENG,FW,19,4.6,19,20,95,217,33,16,16,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,
Omar Marmoush,EGY,FW,26,3.5,52,64,81.3,834,286,31,36,86.1,15,17,88.2,5,8,62.5,0,0.5,0.6,-0.5,4,4,5,1,9,
Jahmai Simpson-Pusey,ENG,DF,19,3.5,176,187,94.1,2900,921,81,85,95.3,89,91,97.8,6,10,60,0,0.1,0.1,-0.1,1,9,1,1,11,
Abdukodir Khusanov,UZB,DF,20,2.1,104,115,90.4,1756,643,49,52,94.2,51,53,96.2,3,8,37.5,0,0,0,0,0,1,0,0,6,
Rodri,ESP,MF,28,1.7,139,150,92.7,2338,606,72,76,94.7,47,53,88.7,16,16,100,0,0.1,0.2,-0.1,2,13,4,0,11,
Divin Mubama,ENG,FW,20,1.3,2,3,66.7,44,18,1,1,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,1,
Nicolás González,ESP,MF,23,1.2,100,103,97.1,1392,355,68,68,100,31,32,96.9,1,2,50,0,0,0,0,0,13,0,0,6,
Oscar Bobb,NOR,FW,21,1,,,,,,,,,,,,,,,1,,,,,,,,,
Kaden Braithwaite,ENG,DF,17,0.8,,,,,,,,,,,,,,,0,,,,,,,,,
Jacob Wright,ENG,MF,19,0.5,,,,,,,,,,,,,,,0,,,,,,,,,
Vitor Reis,BRA,DF,19,0.5,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
