Player,Nation,Pos,Age,Minutes played divided by 90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
Erling Haaland,NOR,FW,24,34.1,27,128,69,53.9,3.75,2.02,0.19,0.35,12,1,3,5,27.4,23.5,0.19,-0.4,0.5,
Joško Gvardiol,CRO,DF,23,33.1,5,40,12,30,1.21,0.36,0.13,0.42,13.6,0,0,0,4.4,4.1,0.11,0.6,0.9,
Bernardo Silva,POR,"MF,FW",30,30,3,35,13,37.1,1.17,0.43,0.09,0.23,12.5,0,0,0,3.8,3.8,0.12,-1.8,-1.8,
Rico Lewis,ENG,"DF,MF",20,27.7,1,18,6,33.3,0.65,0.22,0.06,0.17,17.1,0,0,0,1.7,1.7,0.12,-0.7,-0.7,
Manuel Akanji,SUI,DF,29,27.6,0,14,1,7.1,0.51,0.04,0,0,14.6,0,0,0,1,1,0.07,-1,-1,
Phil Foden,ENG,"MF,FW",24,25,10,80,26,32.5,3.2,1.04,0.13,0.38,18.9,3,0,0,6.2,6.2,0.09,3.8,3.8,
Ederson,BRA,GK,31,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,
İlkay Gündoğan,GER,MF,34,23.4,2,40,11,27.5,1.71,0.47,0.05,0.18,17.7,2,0,0,3.3,3.3,0.11,-1.3,-1.3,
Sávio,BRA,"FW,MF",20,22.5,2,69,21,30.4,3.07,0.93,0.03,0.1,17.8,1,0,0,4.9,4.9,0.09,-2.9,-2.9,
Mateo Kovačić,CRO,MF,30,22.2,5,36,9,25,1.62,0.41,0.14,0.56,22.2,0,0,0,1.6,1.6,0.04,3.4,3.4,
Matheus Nunes,POR,"MF,DF",26,19.1,3,17,9,52.9,0.89,0.47,0.12,0.22,21.1,0,1,1,1.5,0.7,0.08,-0.5,-0.7,
Rúben Dias,POR,DF,27,19.1,0,14,4,28.6,0.73,0.21,0,0,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,
Kevin De Bruyne,BEL,MF,33,15.9,3,47,12,25.5,2.96,0.76,0.06,0.25,21.7,4,0,0,3.3,3.3,0.07,-1.3,-1.3,
Stefan Ortega,GER,GK,32,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,
Jack Grealish,ENG,"FW,MF",29,13.7,2,24,7,29.2,1.75,0.51,0.04,0.14,15.8,0,1,1,1.5,1.5,0.08,-0.5,-0.5,
Jeremy Doku,BEL,FW,22,13.1,6,31,10,32.3,2.37,0.76,0.16,0.5,17.5,0,1,1,1,1,0.05,2,2,
Kyle Walker,ENG,DF,34,12.9,0,6,3,50,0.46,0.23,0,0,27.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,
John Stones,ENG,"DF,MF",30,12.5,3,6,4,66.7,0.48,0.32,0.5,0.75,7.4,0,0,0,1.1,1.1,0.19,1.9,1.9,
Nathan Aké,NED,DF,29,10.2,0,5,1,20,0.49,0.1,0,0,9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,
James Mcatee,ENG,"MF,FW",22,6.9,6,19,9,47.4,2.76,1.31,0.32,0.67,13.4,0,0,0,1.7,1.7,0.17,1.3,1.3,
Nico O’Reilly,ENG,FW,19,4.6,1,7,2,28.6,1.51,0.43,0.14,0.5,31.1,0,0,0,0,0,0.03,0,0,
Omar Marmoush,EGY,FW,26,3.5,3,12,6,50,3.42,1.71,0.25,0.5,19.3,1,0,0,0.9,0.9,0.13,2.1,2.1,
Jahmai Simpson-Pusey,ENG,DF,19,3.5,0,1,1,100,0.29,0.29,0,0,,0,0,0,0,0,,0,0,
Abdukodir Khusanov,UZB,DF,20,2.1,1,2,1,50,0.96,0.48,0.5,1,23.9,0,0,0,0,0,0.02,0,0,
Rodri,ESP,MF,28,1.7,0,1,0,0,0.58,0,0,,29.2,0,0,0,0,0,0.04,0,0,
Divin Mubama,ENG,FW,20,1.3,1,2,1,50,1.53,0.76,0.5,1,17.2,0,0,0,0,0,0.04,0,0,
Nicolás González,ESP,MF,23,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,
Oscar Bobb,NOR,FW,21,1,0,1,0,0,1.01,0,0,,,,0,0,,,,,,
Kaden Braithwaite,ENG,DF,17,0.8,0,0,0,,0,0,,,,,0,0,,,,,,
Jacob Wright,ENG,MF,19,0.5,0,3,0,0,5.87,0,0,,,,0,0,,,,,,
Vitor Reis,BRA,DF,19,0.5,0,0,0,,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
