Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Goalkeeper against,Assist
1,2024-08-10,FA Community Shield,FA Community Shield,Home,Bernardo Silva,Manchester Utd,N,null,null,null,null,89,null,Oscar Bobb
2,2024-08-18,Premier League,Matchweek 1,Away,Erling Haaland,Chelsea,Y,0.17,0.18,Left Foot,9,18,Robert Sánchez,Bernardo Silva
3,2024-08-18,Premier League,Matchweek 1,Away,Mateo Kovačić,Chelsea,Y,0.08,0.07,Right Foot,23,84,Robert Sánchez,null
4,2024-08-24,Premier League,Matchweek 2,Home,Erling Haaland,Ipswich Town,Y,0.79,0.84,Left Foot,13,12,Arijanet Muric,null
5,2024-08-24,Premier League,Matchweek 2,Home,Kevin De Bruyne,Ipswich Town,Y*,0.59,0.97,Left Foot,26,14,Arijanet Muric,Sávio
6,2024-08-24,Premier League,Matchweek 2,Home,Erling Haaland,Ipswich Town,Y,0.21,0.92,Left Foot,13,16,Arijanet Muric,Kevin De Bruyne
7,2024-08-24,Premier League,Matchweek 2,Home,Erling Haaland,Ipswich Town,Y,0.04,0.31,Left Foot,25,88,Arijanet Muric,null
8,2024-08-31,Premier League,Matchweek 3,Away,Erling Haaland,West Ham,Y,0.46,0.88,Left Foot,15,10,Alphonse Areola,Bernardo Silva
9,2024-08-31,Premier League,Matchweek 3,Away,Erling Haaland,West Ham,Y,0.08,0.28,Left Foot,16,30,Alphonse Areola,Rico Lewis
10,2024-08-31,Premier League,Matchweek 3,Away,Erling Haaland,West Ham,Y,0.55,0.66,Left Foot,20,83,Łukasz Fabiański,Matheus Nunes
11,2024-09-14,Premier League,Matchweek 4,Home,Erling Haaland,Brentford,Y,0.07,0.5,Right Foot,10,19,Mark Flekken,null
12,2024-09-14,Premier League,Matchweek 4,Home,Erling Haaland,Brentford,Y,0.38,0.22,Left Foot,15,32,Mark Flekken,Ederson
13,2024-09-22,Premier League,Matchweek 5,Home,Erling Haaland,Arsenal,Y,0.51,0.52,Left Foot,15,9,David Raya,Sávio
14,2024-09-22,Premier League,Matchweek 5,Home,John Stones,Arsenal,N,0.18,0.43,Left Foot,6,90+8,David Raya,null
15,2024-09-24,EFL Cup,Third round,Home,Jeremy Doku,Watford,Y,null,null,null,null,5,Jonathan Bond,Jack Grealish
16,2024-09-24,EFL Cup,Third round,Home,Matheus Nunes,Watford,Y,null,null,null,null,38,Jonathan Bond,Rico Lewis
17,2024-09-28,Premier League,Matchweek 6,Away,Joško Gvardiol,Newcastle Utd,Y,0.08,0.68,Right Foot,10,35,Nick Pope,Jack Grealish
18,2024-10-01,Champions Lg,League phase,Away,İlkay Gündoğan,Slovan Bratislava,Y*,0.1,0.67,Right Foot,20,8,Dominik Takáč,null
19,2024-10-01,Champions Lg,League phase,Away,Phil Foden,Slovan Bratislava,Y,0.1,0.85,Left Foot,18,15,Dominik Takáč,Jeremy Doku
20,2024-10-01,Champions Lg,League phase,Away,Erling Haaland,Slovan Bratislava,Y,0.96,1,Right Foot,4,58,Dominik Takáč,Rico Lewis
21,2024-10-01,Champions Lg,League phase,Away,James Mcatee,Slovan Bratislava,N,0.08,0.41,Left Foot,12,74,Dominik Takáč,Phil Foden
22,2024-10-05,Premier League,Matchweek 7,Home,Mateo Kovačić,Fulham,Y,0.07,0.39,Right Foot,16,32,Bernd Leno,null
23,2024-10-05,Premier League,Matchweek 7,Home,Mateo Kovačić,Fulham,Y,0.13,0.15,Right Foot,20,47,Bernd Leno,Bernardo Silva
24,2024-10-05,Premier League,Matchweek 7,Home,Jeremy Doku,Fulham,N,0.06,0.07,Right Foot,21,82,Bernd Leno,Rico Lewis
25,2024-10-20,Premier League,Matchweek 8,Away,Joško Gvardiol,Wolves,Y,0.02,0.12,Right Foot,24,33,José Sá,Jeremy Doku
26,2024-10-20,Premier League,Matchweek 8,Away,John Stones,Wolves,Y,0.26,0.4,Head,4,90+5,José Sá,Phil Foden
27,2024-10-23,Champions Lg,League phase,Home,Phil Foden,Sparta Prague,Y,0.06,0.27,Left Foot,17,3,Peter Vindahl Jensen,Manuel Akanji
28,2024-10-23,Champions Lg,League phase,Home,Erling Haaland,Sparta Prague,Y,0.09,0.76,Left Foot,11,58,Peter Vindahl Jensen,Sávio
29,2024-10-23,Champions Lg,League phase,Home,John Stones,Sparta Prague,Y,0.18,0.8,Head,8,64,Peter Vindahl Jensen,Matheus Nunes
30,2024-10-23,Champions Lg,League phase,Home,Erling Haaland,Sparta Prague,Y,0.19,0.75,Right Foot,14,68,Peter Vindahl Jensen,Matheus Nunes
31,2024-10-23,Champions Lg,League phase,Home,Matheus Nunes,Sparta Prague,Y,0.79,0.85,Right Foot,13,88,Peter Vindahl Jensen,null
32,2024-10-26,Premier League,Matchweek 9,Home,Erling Haaland,Southampton,Y,0.38,0.34,Left Foot,7,5,Aaron Ramsdale,Matheus Nunes
33,2024-10-30,EFL Cup,Fourth round,Away,Matheus Nunes,Tottenham,Y,null,null,null,null,45+4,Guglielmo Vicario,Sávio
